DAFTAR PEGAWAI KEMENTRIAN KEPIN;;;;;
Column1;Column2;Column3;Column4;Column5;Column6
Nama;Email;Unit Kerja;Jabatan;Nomor Telepon;Alamat
Yohanes William;yohanes.sinaga@kepin.go.id;Direktorat Keamanan Informasi;Kepala Unit Keamanan;+62 812 3456 7890;Jl. Cyber No. 12, Jakarta Selatan, Indonesia
Andi Prasetyo;andi.prasetyo@kepin.go.id;Departemen Analisis Keamanan;Analis Keamanan Siber;+62 813 1234 5678;Jl. Teknologi No. 8, Jakarta Pusat, Indonesia
Maria Lestari;maria.lestari@kepin.go.id;Direktorat Keamanan Jaringan;Manajer Keamanan Jaringan;+62 812 9876 5432;Jl. Sains No. 5, Bandung, Indonesia
Budi Santoso;budi.santoso@kepin.go.id;Bidang Pengelolaan Risiko;Manajer Risiko dan Keamanan;+62 821 5556 7890;Jl. Risikon No. 7, Yogyakarta, Indonesia
Tania Dewi;tania.dewi@kepin.go.id;Divisi Pemulihan Insiden;Spesialis Pemulihan Keamanan;+62 813 6667 8901;Jl. Pemulihan No. 6, Surabaya, Indonesia
Rudi Hartono;rudi.hartono@kepin.go.id;Direktorat Teknologi dan Infrastruktur;Kepala Divisi Infrastruktur IT;+62 812 2345 6789;Jl. Infrastruktur No. 10, Medan, Indonesia
Siti Rahmawati;siti.rahmawati@kepin.go.id;Departemen Keamanan Sistem;Teknisi Keamanan Sistem;+62 812 9876 1122;Jl. Keamanan No. 14, Bali, Indonesia
Indra Prabowo;indra.prabowo@kepin.go.id;Divisi Pengawasan Keamanan;Pengawas Keamanan IT;+62 813 2345 6789;Jl. Pengawasan No. 3, Semarang, Indonesia
Dedi Setiawan;dedi.setiawan@kepin.go.id;Bidang Teknologi Informasi;Teknisi Jaringan dan Infrastruktur;+62 821 1234 5678;Jl. Teknologi No. 13, Bekasi, Indonesia
Rina Amalia;rina.amalia@kepin.go.id;Departemen Pengendalian Keamanan;Koordinator Pengendalian Keamanan;+62 813 4455 6789;Jl. Pengendalian No. 9, Tangerang, Indonesia
Fajar Nugroho;fajar.nugroho@kepin.go.id;Direktorat Keamanan Data;Kepala Bidang Keamanan Data;+62 822 3344 5566;Jl. Keamanan Data No. 16, Surakarta, Indonesia
